Format Version,1.23,Take Name,V03A_004,Take Notes,,Capture Frame Rate,100,Export Frame Rate,100,Capture Start Time,2022-01-11 02.42.12.212 ,Total Frames in Take,67,Total Exported Frames,67,Rotation Type,XZY,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,
,,HIP_X,HIP_Z,HIP_Y,HIP_X,HIP_Y,HIP_Z,LTHI_X,LTHI_Z,LTHI_Y,LTHI_X,LTHI_Y,LTHI_Z,LSHA_X,LSHA_Z,LSHA_Y,LSHA_X,LSHA_Y,LSHA_Z,LFOOT_X,LFOOT_Z,LFOOT_Y,LFOOT_X,LFOOT_Y,LFOOT_Z,RTHI_X,RTHI_Z,RTHI_Y,RTHI_X,RTHI_Y,RTHI_Z,RSHA_X,RSHA_Z,RSHA_Y,RSHA_X,RSHA_Y,RSHA_Z,RFOOT_X,RFOOT_Z,RFOOT_Y,RFOOT_X,RFOOT_Y,RFOOT_Z
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,HIP,HIP,HIP,HIP,HIP,HIP,LTHI,LTHI,LTHI,LTHI,LTHI,LTHI,LSHA,LSHA,LSHA,LSHA,LSHA,LSHA,LFOOT,LFOOT,LFOOT,LFOOT,LFOOT,LFOOT,RTHI,RTHI,RTHI,RTHI,RTHI,RTHI,RSHA,RSHA,RSHA,RSHA,RSHA,RSHA,RFOOT,RFOOT,RFOOT,RFOOT,RFOOT,RFOOT
,ID,F5383E26730B11EC9A069B5DF02C0F86,F5383E26730B11EC9A069B5DF02C0F86,F5383E26730B11EC9A069B5DF02C0F86,F5383E26730B11EC9A069B5DF02C0F86,F5383E26730B11EC9A069B5DF02C0F86,F5383E26730B11EC9A069B5DF02C0F86,156A4B7A730C11EC9A069B5DF02C0F86,156A4B7A730C11EC9A069B5DF02C0F86,156A4B7A730C11EC9A069B5DF02C0F86,156A4B7A730C11EC9A069B5DF02C0F86,156A4B7A730C11EC9A069B5DF02C0F86,156A4B7A730C11EC9A069B5DF02C0F86,1F057445730C11EC9A069B5DF02C0F86,1F057445730C11EC9A069B5DF02C0F86,1F057445730C11EC9A069B5DF02C0F86,1F057445730C11EC9A069B5DF02C0F86,1F057445730C11EC9A069B5DF02C0F86,1F057445730C11EC9A069B5DF02C0F86,46C8B624730C11EC9A069B5DF02C0F86,46C8B624730C11EC9A069B5DF02C0F86,46C8B624730C11EC9A069B5DF02C0F86,46C8B624730C11EC9A069B5DF02C0F86,46C8B624730C11EC9A069B5DF02C0F86,46C8B624730C11EC9A069B5DF02C0F86,50FE596D730C11EC9A069B5DF02C0F86,50FE596D730C11EC9A069B5DF02C0F86,50FE596D730C11EC9A069B5DF02C0F86,50FE596D730C11EC9A069B5DF02C0F86,50FE596D730C11EC9A069B5DF02C0F86,50FE596D730C11EC9A069B5DF02C0F86,570EEABA730C11EC9A069B5DF02C0F86,570EEABA730C11EC9A069B5DF02C0F86,570EEABA730C11EC9A069B5DF02C0F86,570EEABA730C11EC9A069B5DF02C0F86,570EEABA730C11EC9A069B5DF02C0F86,570EEABA730C11EC9A069B5DF02C0F86,6769CFF1730C11EC9A069B5DF02C0F86,6769CFF1730C11EC9A069B5DF02C0F86,6769CFF1730C11EC9A069B5DF02C0F86,6769CFF1730C11EC9A069B5DF02C0F86,6769CFF1730C11EC9A069B5DF02C0F86,6769CFF1730C11EC9A069B5DF02C0F86
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Z,Y,X,Y,Z,X,Z,Y,X,Y,Z,X,Z,Y,X,Y,Z,X,Z,Y,X,Y,Z,X,Z,Y,X,Y,Z,X,Z,Y,X,Y,Z,X,Z,Y,X,Y,Z
419,0,16.524027,-5.682114,-6.921244,-0.037735,0.959326,-1.416725,22.489603,-6.792665,-7.365469,0.112904,0.673967,-1.517479,72.508766,-4.489327,-7.213708,0.10323,0.473427,-1.808204,82.552193,-4.225948,1.838993,0.059683,0.342763,-2.047979,-14.491094,1.358779,-0.383897,-0.177308,0.688021,-1.398525,-13.293341,7.624098,3.095351,-0.135275,0.31061,-1.336149,-23.957048,14.914433,1.454236,-0.090714,0.100994,-1.148036
420,0.01,15.906295,-4.998175,-6.922515,-0.038583,0.953015,-1.387441,21.921902,-6.46575,-5.909332,0.113326,0.668593,-1.484879,75.964233,-4.69197,-5.683579,0.102087,0.48004,-1.773929,85.61689,-4.244903,2.581616,0.058668,0.365132,-2.020213,-13.464931,1.62481,-2.990866,-0.178805,0.679236,-1.371009,-12.983482,7.333217,1.840416,-0.13655,0.305509,-1.3077,-22.927273,13.949686,3.013049,-0.092215,0.094427,-1.121602
421,0.02,15.300937,-4.363761,-6.938716,-0.039372,0.946303,-1.358244,21.368288,-6.136844,-4.582048,0.113853,0.662644,-1.452271,79.400505,-4.922216,-4.286777,0.101047,0.485886,-1.739018,88.662468,-4.299455,3.263082,0.057502,0.386664,-1.991146,-12.827558,2.309958,-5.243464,-0.179732,0.670742,-1.342544,-12.335705,7.097253,1.795178,-0.13817,0.299911,-1.280264,-21.584963,13.150088,4.258261,-0.0933,0.086533,-1.097771
422,0.03,14.701732,-3.839497,-6.982401,-0.040058,0.938942,-1.329169,20.72381,-5.791396,-3.372684,0.114473,0.655643,-1.419589,82.836784,-5.271359,-3.254371,0.1002,0.490433,-1.703001,91.606155,-4.316355,3.834943,0.056207,0.406682,-1.959949,-12.866357,3.222862,-6.643243,-0.179924,0.6628,-1.312708,-11.080694,6.96231,3.104504,-0.140212,0.293671,-1.254117,-19.656298,12.644025,5.15227,-0.093678,0.076791,-1.078013
