Tempo (ms);Trajetória 1
0;-0,0670197129249573
8;0,178911173343658
17;0,40382981300354
25;0,628748452663422
33;0,874679338932037
42;1,1563662648201
50;1,4611036658287
58;1,75514783859253
67;2,01382184028625
75;2,22866220474243
83;2,40899925231934
92;2,57763438224792
100;2,76163830757141
108;2,98122935295105
117;3,24361071586609
125;3,54367537498474
133;3,86492552757263
142;4,18151926994324
150;4,46730055809021
158;4,7045355796814
167;4,88551616668701
175;5,01271953582764
184;5,09717035293579
192;5,15022983551025
200;5,17574024200439
209;5,1698655128479
217;5,12610521316528
225;5,03973417282104
234;4,90771551132202
242;4,7278618812561
250;4,50274596214294
259;4,24264497756958
267;3,96487045288086
275;3,69699335098267
284;3,47695055007935
292;3,33684344291687
300;3,28325724601746
309;3,29280490875244
317;3,3186514377594
325;3,30279560089111
334;3,1980215549469
342;2,98877506256103
350;2,69336597919464
359;2,34936640262604
367;1,99420766830444
375;1,64713099002838
384;1,29999543428421
392;0,925304882228374
400;0,496620444953442
409;0,00592871159315109
417;-0,531844468414783
425;-1,08725422173738
434;-1,63325604200363
442;-2,16081554889679
450;-2,68027279376984
459;-3,20642619132996
467;-3,740709400177
475;-4,26409430503845
484;-4,74333157539368
492;-5,14472417831421
500;-5,4459981918335
509;-5,63940181732178
517;-5,72772531509399
526;-5,72030477523804
534;-5,63468132019043
542;-5,50313634872437
551;-5,37439250946045
559;-5,30240058898926
567;-5,32795352935791
576;-5,46369781494141
584;-5,68799600601196
592;-5,95292310714722
601;-6,20425434112549
609;-6,3973370552063
617;-6,50172920227051
626;-6,50380706787109
634;-6,40818672180176
642;-6,23293190002441
651;-6,0045711517334
659;-5,75533952713013
667;-5,51661186218262
676;-5,31100759506226
684;-5,14929933547974
692;-5,03206815719605
701;-4,95416088104248
709;-4,90644388198853
717;-4,87190599441528
726;-4,82467679977417
734;-4,73587589263916
742;-4,57853116989136
751;-4,33030290603638
759;-3,97793502807617
767;-3,51964020729065
776;-2,96381733417511
784;-2,33099685907364
792;-1,66017900109291
801;-1,01059898138046
809;-0,453465169668198
817;-0,0560879170894623
826;0,13814639672637
834;0,126178546994925
843;-0,0544710494577885
851;-0,342204359918833
859;-0,67309353724122
868;-1,00191844105721
876;-1,31761306524277
884;-1,64233949184418
893;-2,01306440830231
901;-2,45746188163757
909;-2,97536463737488
918;-3,53313403129578
926;-4,07257137298584
934;-4,52957820892334
943;-4,85794792175293
951;-5,04796657562256
959;-5,12424621582031
968;-5,12813854217529
976;-5,10597972869873
984;-5,10344696044922
993;-5,15715284347534
1001;-5,29236831665039
1009;-5,52707471847534
1018;-5,86602191925049
1026;-6,28890190124512
1034;-6,74753561019897
1043;-7,1677098274231
1051;-7,453307056427
1059;-7,50046501159668
1068;-7,21497077941895
1076;-6,52510957717895
1084;-5,39721083641052
1093;-3,85104454010725
1101;-1,96115677803755
1109;0,155932874977589
1118;2,36181370764971
1126;4,52172834426165
1134;6,5308304309845
1143;8,33219480514526
1151;9,91806001663208
1159;11,311968421936
1168;12,5421464920044
1176;13,6186780929565
1185;14,5194612503052
1193;15,1917266845703
1201;15,5730180740356
1210;15,6179779052734
1218;15,3136476516724
1226;14,6805271148682
1235;13,7633731842041
1243;12,61689453125
1251;11,2965351104736
1260;9,85992422103882
1268;8,37307271957397
1276;6,91372938156128
1285;5,56755237579346
1293;4,41586790084839
1301;3,51979632377625
1310;2,90726327896118
1318;2,56748094558716
1326;2,45490312576294
1335;2,49738721847534
1343;2,60448188781738
1351;2,68082323074341
1360;2,64240870475769
1368;2,42619433403015
1376;1,99635108709335
1385;1,35171800851822
1393;0,524269998073578
1401;-0,434788191318512
1410;-1,46765691041946
1418;-2,51394109725952
1426;-3,51196887493134
1435;-4,39919109344482
1443;-5,10875344276428
1451;-5,56918859481812
1460;-5,74733591079712
1468;-5,69207944869995
1476;-5,45338287353516
1485;-5,08248090744019
1493;-4,71157894134521
1502;-4,47288236618042
